School,SRC School ID,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2015-16 Learning Network,2016-17 Learning Network,Notes,Overall Score,Overall Tier,Overall City Rank,Overall Peer Rank,Ach Score,Ach Tier,Ach City Rank,Ach Peer Rank,Prog Score,Prog Tier,Prog City Rank,Prog Peer Rank,Clim Score,Clim Tier,Clim City Rank,Clim Peer Rank,CC Score,CC Tier,CC City Rank,CC Peer Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L20P) Score,Keystone Alg1 AGI (L20P) Pts Earn,Keystone Alg1 AGI (L20P) Pts Poss,Keystone Alg1 AGI (L20P) Pct Earn,Keystone Alg1 AGI (L20P) Tier,Keystone Bio AGI (L20P) Score,Keystone Bio AGI (L20P) Pts Earn,Keystone Bio AGI (L20P) Pts Poss,Keystone Bio AGI (L20P) Pct Earn,Keystone Bio AGI (L20P) Tier,Keystone Lit AGI (L20P) Score,Keystone Lit AGI (L20P) Pts Earn,Keystone Lit AGI (L20P) Pts Poss,Keystone Lit AGI (L20P) Pct Earn,Keystone Lit AGI (L20P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI Score,AP/IB/NOCTI Denom,AP/IB/NOCTI Pts Earn,AP/IB/NOCTI Pts Poss,AP/IB/NOCTI Pct Earn,AP/IB/NOCTI Tier,AP/IB/NOCTI (Participants) Score,AP/IB/NOCTI (Participants) Denom,AP/IB/NOCTI (Non-Participants) Score,AP/IB/NOCTI (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect Distinguished Score,Teach Effect Instruction Score,Teacher Attendance Score,Student Survey Teaching Score
Philadelphia Military Academy,505,HS,High School,2118 N. 13th St.,Philadelphia,PA,19122,215-684-5091,215-684-5507,District,N/A,313,www.philasd.org/schools/pma,'9-12',Citywide,3,Autonomy Network,Autonomy Network,,46,WATCH,21st out of 83,5th out of 22,5,INTERVENE,44th out of 79,12th out of 19,65,REINFORCE,12th out of 83,5th out of 22,69,REINFORCE,24th out of 84,7th out of 21,54,REINFORCE,22nd out of 77,6th out of 20,14,190,0,8,0,INTERVENE,2,190,.13,1.5,8,INTERVENE,17,115,0,8,0,INTERVENE,3,115,.16,1.5,10,INTERVENE,32,104,1.17,8,15,INTERVENE,0,104,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,.03,2.23,6.5,34,WATCH,.52,3.29,6.5,51,REINFORCE,.73,3.75,6.5,58,REINFORCE,100,217,8,8,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.71,1.36,1.5,90,MODEL,.8,.9,1.5,60,REINFORCE,1.59,1.3,1.5,86,MODEL,44,315,3.86,8,48,WATCH,32,315,12,315,6,315,5,315,85,299,5.97,6,100,MODEL,100,315,.48,.5,97,MODEL,96,315,2.18,2.5,87,MODEL,60,.6,1,60,REINFORCE,75,.75,1,75,MODEL,12,.05,1,5,INTERVENE,100,59,4.5,4.5,100,MODEL,34,59,.24,1.5,16,INTERVENE,0,59,0,1,0,INTERVENE,31,59,69,59,2,59,0,1,0,INTERVENE,90,59,8,59,41,59,.31,1,31,WATCH,34,.34,1,34,WATCH,0,0,63,52
Jules E. Mastbaum Area Vocational Technical High School,506,HS,High School,3116 Frankford Ave.,Philadelphia,PA,19134,215-291-4703,215-291-5657,District,N/A,693,www.philasd.org/schools/mastbaum,'9-12',Citywide,1,Neighborhood Network 4,Neighborhood Network 4,,19,INTERVENE,53rd out of 83,2nd out of 12,6,INTERVENE,40th out of 79,2nd out of 12,21,INTERVENE,54th out of 83,3rd out of 12,33,WATCH,56th out of 84,2nd out of 12,25,WATCH,48th out of 77,2nd out of 11,6,460,0,8,0,INTERVENE,0,460,0,1.5,0,INTERVENE,4,202,0,8,0,INTERVENE,0,202,0,1.5,0,INTERVENE,23,174,.3,8,4,INTERVENE,0,174,0,1.5,0,INTERVENE,60,40,1.5,1.5,100,MODEL,-12.75,0,6.5,0,INTERVENE,-9.89,0,6.5,0,INTERVENE,-3.19,0,6.5,0,INTERVENE,85,502,4.12,8,52,REINFORCE,68,34,3.32,6,55,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.93,0,1.5,0,INTERVENE,-.05,.48,1.5,32,WATCH,-1.82,0,1.5,0,INTERVENE,18,701,0,8,0,INTERVENE,29,701,20,701,10,701,23,701,84,682,5.59,6,93,MODEL,100,701,.5,.5,100,MODEL,77,701,.6,2.5,24,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,1,0,1,0,INTERVENE,82,109,1.2,4.5,27,WATCH,31,89,.18,1.5,12,INTERVENE,63,93,1,1,100,MODEL,23,93,14,93,0,93,0,1,0,INTERVENE,45,93,55,93,31,93,.12,1,12,INTERVENE,0,0,1,0,INTERVENE,0,15,64,0
Parkway Northwest High School,507,HS,High School,6200 Crittenden St.,Philadelphia,PA,19138,215-400-3390,215-400-3391,District,N/A,219,www.philasd.orgschools/parkwaynw,'9-12',Special Admit,3,Neighborhood Network 6,Neighborhood Network 6,,33,WATCH,35th out of 83,10th out of 22,9,INTERVENE,34th out of 79,10th out of 19,35,WATCH,30th out of 83,9th out of 22,54,REINFORCE,41st out of 84,15th out of 21,57,REINFORCE,16th out of 77,4th out of 20,10,143,0,8,0,INTERVENE,0,143,0,1.5,0,INTERVENE,10,81,0,8,0,INTERVENE,0,81,0,1.5,0,INTERVENE,44,63,2.44,8,31,WATCH,0,63,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-5.89,0,6.5,0,INTERVENE,-4.04,0,6.5,0,INTERVENE,.33,2.88,6.5,44,WATCH,94,158,6.48,8,81,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.46,0,1.5,0,INTERVENE,.26,.63,1.5,42,WATCH,1.38,1.19,1.5,79,MODEL,35,228,2.34,8,29,WATCH,25,228,20,228,7,228,13,228,86,217,6,6,100,MODEL,100,228,.5,.5,100,MODEL,88,228,1.48,2.5,59,REINFORCE,58,.58,1,58,REINFORCE,0,0,1,0,INTERVENE,1,0,1,0,INTERVENE,94,47,3.35,4.5,74,REINFORCE,64,45,1.08,1.5,72,REINFORCE,2,44,0,1,0,INTERVENE,39,44,59,44,0,44,0,1,0,INTERVENE,84,44,16,44,80,44,1,1,100,MODEL,27,.27,1,27,WATCH,0,17,43,36
Parkway Center City High School,508,HS,High School,540 N. 13th St.,Philadelphia,PA,19123,215-351-7095,215-351-7097,District,N/A,556,www.philasd.org/schools/parkwaycc,'9-12',Special Admit,3,Autonomy Network,Autonomy Network,,61,REINFORCE,7th out of 83,2nd out of 22,29,WATCH,15th out of 79,1st out of 19,75,MODEL,9th out of 83,4th out of 22,86,MODEL,6th out of 84,1st out of 21,63,REINFORCE,13th out of 77,3rd out of 20,39,229,1.93,8,24,INTERVENE,13,229,.76,1.5,51,REINFORCE,31,223,1.09,8,14,INTERVENE,4,223,.22,1.5,14,INTERVENE,61,217,4.08,8,51,REINFORCE,2,217,.11,1.5,7,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,4.47,6.5,6.5,100,MODEL,-1.13,0,6.5,0,INTERVENE,3.19,6.5,6.5,100,MODEL,96,388,6.83,8,85,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.35,1.5,1.5,100,MODEL,1.24,1.12,1.5,75,MODEL,2.7,1.5,1.5,100,MODEL,67,567,7.52,8,94,MODEL,18,567,8,567,4,567,3,567,90,547,6,6,100,MODEL,100,567,.5,.5,100,MODEL,100,567,2.5,2.5,100,MODEL,64,.64,1,64,REINFORCE,0,0,1,0,INTERVENE,8,0,1,0,INTERVENE,95,129,3.66,4.5,81,MODEL,74,125,1.33,1.5,88,MODEL,2,124,0,1,0,INTERVENE,54,124,44,124,2,124,0,1,0,INTERVENE,94,124,3,124,83,124,1,1,100,MODEL,29,.29,1,29,WATCH,5,6,71,54
Parkway West High School,509,HS,High School,4725 Fairmount Ave.,Philadelphia,PA,19139,215-581-5510,215-581-5600,District,N/A,291,www.philasd.org/schools/parkwaywest,'9-12',Special Admit,3,Neighborhood Network 2,Neighborhood Network 2,,32,WATCH,39th out of 83,11th out of 22,9,INTERVENE,31st out of 79,7th out of 19,35,WATCH,31st out of 83,10th out of 22,50,REINFORCE,48th out of 84,18th out of 21,50,REINFORCE,27th out of 77,9th out of 20,15,166,0,8,0,INTERVENE,2,166,.14,1.5,10,INTERVENE,16,98,0,8,0,INTERVENE,1,98,.06,1.5,4,INTERVENE,43,67,2.33,8,29,WATCH,0,67,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-.7,.65,6.5,10,INTERVENE,-.37,1.37,6.5,21,INTERVENE,1.58,5.59,6.5,86,MODEL,77,168,1.81,8,23,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-.86,.07,1.5,5,INTERVENE,1.12,1.06,1.5,71,REINFORCE,.16,.58,1.5,39,WATCH,31,311,1.74,8,22,INTERVENE,25,311,21,311,10,311,14,311,89,279,6,6,100,MODEL,100,311,.5,.5,100,MODEL,83,311,1.11,2.5,44,WATCH,59,.59,1,59,REINFORCE,0,0,1,0,INTERVENE,1,0,1,0,INTERVENE,93,87,3.26,4.5,72,REINFORCE,56,82,.85,1.5,57,REINFORCE,0,85,0,1,0,INTERVENE,51,85,49,85,1,85,0,1,0,INTERVENE,71,85,28,85,55,85,.61,1,61,REINFORCE,27,.27,1,27,WATCH,0,8,82,41
William W. Bodine High School,515,HS,High School,1101 N. 4th St.,Philadelphia,PA,19123,215-351-7332,215-351-7370,District,N/A,446,www.philasd.org/schools/bodine,'9-12',Special Admit,4,Autonomy Network,Autonomy Network,,50,REINFORCE,19th out of 83,5th out of 19,38,WATCH,11th out of 79,4th out of 19,43,WATCH,24th out of 83,7th out of 19,73,REINFORCE,18th out of 84,4th out of 20,59,REINFORCE,15th out of 77,5th out of 18,37,187,1.74,8,22,INTERVENE,6,187,.35,1.5,24,INTERVENE,41,192,2.06,8,26,WATCH,7,192,.44,1.5,29,WATCH,80,94,5.98,8,75,MODEL,2,94,.13,1.5,9,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-5.42,0,6.5,0,INTERVENE,-1.84,0,6.5,0,INTERVENE,1.17,4.7,6.5,72,REINFORCE,96,342,6.99,8,87,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.34,0,1.5,0,INTERVENE,.46,.73,1.5,49,WATCH,1.88,1.44,1.5,96,MODEL,49,459,4.64,8,58,REINFORCE,31,459,11,459,3,459,5,459,94,440,6,6,100,MODEL,97,459,.34,.5,67,REINFORCE,96,459,2.19,2.5,88,MODEL,64,.64,1,64,REINFORCE,81,.81,1,81,MODEL,12,.06,1,6,INTERVENE,90,105,2.79,4.5,62,REINFORCE,78,95,1.44,1.5,96,MODEL,28,95,.46,1,46,WATCH,45,95,26,95,20,95,.25,1,25,WATCH,75,95,5,95,58,95,.66,1,66,REINFORCE,27,.27,1,27,WATCH,15,17,83,47
Penn Treaty High School,516,HS,High School,600 E. Thompson St.,Philadelphia,PA,19125,215-291-4715,215-291-5172,District,N/A,296,www.philasd.org/schools/penntreaty,'9-12',Neighborhood,4,Neighborhood Network 3,Neighborhood Network 3,,15,INTERVENE,60th out of 83,16th out of 19,0,INTERVENE,74th out of 79,19th out of 19,24,INTERVENE,47th out of 83,12th out of 19,24,INTERVENE,61st out of 84,17th out of 20,7,INTERVENE,65th out of 77,17th out of 18,5,167,0,8,0,INTERVENE,1,167,.04,1.5,2,INTERVENE,4,93,0,8,0,INTERVENE,0,93,0,1.5,0,INTERVENE,18,93,0,8,0,INTERVENE,0,93,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-4.76,0,6.5,0,INTERVENE,-1.99,0,6.5,0,INTERVENE,-4.98,0,6.5,0,INTERVENE,91,161,5.51,8,69,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.42,1.21,1.5,81,MODEL,1.11,1.06,1.5,70,REINFORCE,-3.21,0,1.5,0,INTERVENE,17,343,0,8,0,INTERVENE,18,343,19,343,10,343,35,343,80,282,2.87,6,48,WATCH,100,343,.5,.5,100,MODEL,81,343,.92,2.5,37,WATCH,54,.54,1,54,REINFORCE,0,0,1,0,INTERVENE,2,0,1,0,INTERVENE,68,80,0,4.5,0,INTERVENE,23,56,0,1.5,0,INTERVENE,0,61,0,1,0,INTERVENE,0,61,100,61,5,61,0,1,0,INTERVENE,36,61,59,61,49,61,.48,1,48,WATCH,20,.2,1,20,INTERVENE,0,0,38,39
"Kensington International Business, Finance, and Entrepreneurship High School",551,HS,High School,2501 Coral St.,Philadelphia,PA,19125,215-291-5168,215-291-5708,District,N/A,365,www.philasd.org/schools/kensington-business,'9-12',Neighborhood,1,Neighborhood Network 5,Consolidated,*School was consolidated at the end of the 2015-2016 school year. ,8,INTERVENE,75th out of 83,9th out of 12,0,INTERVENE,69th out of 79,11th out of 12,11,INTERVENE,71st out of 83,11th out of 12,15,INTERVENE,66th out of 84,6th out of 12,6,INTERVENE,67th out of 77,8th out of 11,5,195,0,8,0,INTERVENE,1,195,.03,1.5,2,INTERVENE,4,150,0,8,0,INTERVENE,1,150,.04,1.5,3,INTERVENE,4,141,0,8,0,INTERVENE,0,141,0,1.5,0,INTERVENE,11,45,0,1.5,0,INTERVENE,-6.32,0,6.5,0,INTERVENE,-2.7,0,6.5,0,INTERVENE,-7.4,0,6.5,0,INTERVENE,75,134,1.43,8,18,INTERVENE,45,58,.58,6,10,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,.39,.7,1.5,46,WATCH,2.84,1.5,1.5,100,MODEL,-1.97,0,1.5,0,INTERVENE,12,460,0,8,0,INTERVENE,10,460,12,460,10,460,57,460,72,352,0,6,0,INTERVENE,100,460,.5,.5,100,MODEL,84,460,1.16,2.5,46,WATCH,54,.54,1,54,REINFORCE,78,.78,1,78,MODEL,14,.1,1,10,INTERVENE,66,80,0,4.5,0,INTERVENE,12,60,0,1.5,0,INTERVENE,21,57,.28,1,28,WATCH,19,57,60,57,0,57,0,1,0,INTERVENE,28,57,72,57,18,57,0,1,0,INTERVENE,30,.3,1,30,WATCH,0,67,83,43
Kensington High School for Creative and Performing Arts,552,HS,High School,1901 N. Front St.,Philadelphia,PA,19122,215-291-5010,215-291-6334,District,N/A,508,kensingtoncapa.wix.com/kcapa,'9-12',Neighborhood,1,Neighborhood Network 5,Neighborhood Network 5,,15,INTERVENE,61st out of 83,4th out of 12,5,INTERVENE,43rd out of 79,3rd out of 12,17,INTERVENE,65th out of 83,7th out of 12,28,WATCH,58th out of 84,4th out of 12,8,INTERVENE,60th out of 77,4th out of 11,4,254,0,8,0,INTERVENE,0,254,.02,1.5,2,INTERVENE,2,98,0,8,0,INTERVENE,0,98,0,1.5,0,INTERVENE,14,132,0,8,0,INTERVENE,1,132,.05,1.5,3,INTERVENE,34,68,1.5,1.5,100,MODEL,-9.03,0,6.5,0,INTERVENE,-6.49,0,6.5,0,INTERVENE,-6.75,0,6.5,0,INTERVENE,85,294,4.01,8,50,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,.61,.81,1.5,54,REINFORCE,.36,.68,1.5,45,WATCH,-2.21,0,1.5,0,INTERVENE,13,576,0,8,0,INTERVENE,18,576,18,576,13,576,38,576,79,487,2.56,6,43,WATCH,100,576,.5,.5,100,MODEL,94,576,1.97,2.5,79,MODEL,61,.61,1,61,REINFORCE,0,0,1,0,INTERVENE,7,0,1,0,INTERVENE,74,129,0,4.5,0,INTERVENE,28,107,.08,1.5,6,INTERVENE,7,98,0,1,0,INTERVENE,1,98,92,98,1,98,0,1,0,INTERVENE,51,98,48,98,51,98,.52,1,52,REINFORCE,21,.21,1,21,INTERVENE,0,0,69,38
Kensington Health Sciences Academy,555,HS,High School,2463 Emerald St.,Philadelphia,PA,19125,215-291-5185,215-291-6320,District,N/A,442,www.philasd.org/schools/kensingtonhealthsciences,'9-12',Neighborhood,1,Neighborhood Network 5,Neighborhood Network 5,,14,INTERVENE,62nd out of 83,5th out of 12,0,INTERVENE,64th out of 79,10th out of 12,16,INTERVENE,67th out of 83,8th out of 12,33,WATCH,57th out of 84,3rd out of 12,7,INTERVENE,64th out of 77,7th out of 11,2,268,0,8,0,INTERVENE,0,268,0,1.5,0,INTERVENE,5,174,0,8,0,INTERVENE,1,174,.03,1.5,2,INTERVENE,11,165,0,8,0,INTERVENE,0,165,0,1.5,0,INTERVENE,16,38,.08,1.5,5,INTERVENE,-6.83,0,6.5,0,INTERVENE,-3.43,0,6.5,0,INTERVENE,-6.95,0,6.5,0,INTERVENE,87,240,4.45,8,56,REINFORCE,31,35,0,6,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,.34,.67,1.5,45,WATCH,1.13,1.07,1.5,71,REINFORCE,-2.66,0,1.5,0,INTERVENE,11,500,0,8,0,INTERVENE,16,500,17,500,13,500,43,500,86,422,6,6,100,MODEL,100,500,.5,.5,100,MODEL,70,500,.03,2.5,1,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,3,0,1,0,INTERVENE,73,114,0,4.5,0,INTERVENE,34,93,.26,1.5,17,INTERVENE,15,103,.11,1,11,INTERVENE,20,103,65,103,1,103,0,1,0,INTERVENE,50,103,50,103,42,103,.34,1,34,WATCH,0,0,1,0,INTERVENE,0,0,70,0
Kensington Urban Education Academy,560,HS,High School,2051 E. Cumberland St.,Philadelphia,PA,19125,215-291-5420,215-291-5427,District,N/A,351,www.philasd.org/schools/kensington-urban,'9-12',Neighborhood,1,Neighborhood Network 5,Consolidated,*School was consolidated at the end of the 2015-2016 school year. ,11,INTERVENE,68th out of 83,8th out of 12,3,INTERVENE,55th out of 79,9th out of 12,20,INTERVENE,58th out of 83,5th out of 12,11,INTERVENE,75th out of 84,10th out of 12,3,INTERVENE,71st out of 77,10th out of 11,4,226,0,8,0,INTERVENE,0,226,0,1.5,0,INTERVENE,2,142,0,8,0,INTERVENE,0,142,0,1.5,0,INTERVENE,6,144,0,8,0,INTERVENE,0,144,0,1.5,0,INTERVENE,23,47,.84,1.5,56,REINFORCE,-6.28,0,6.5,0,INTERVENE,-1.8,0,6.5,0,INTERVENE,-4.77,0,6.5,0,INTERVENE,83,165,3.47,8,43,WATCH,59,29,2.23,6,37,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,.02,.51,1.5,34,WATCH,1.68,1.34,1.5,89,MODEL,-.59,.21,1.5,14,INTERVENE,8,421,0,8,0,INTERVENE,12,421,14,421,11,421,56,421,76,338,.44,6,7,INTERVENE,100,421,.5,.5,100,MODEL,79,421,.72,2.5,29,WATCH,51,.51,1,51,REINFORCE,0,0,1,0,INTERVENE,6,0,1,0,INTERVENE,67,78,0,4.5,0,INTERVENE,15,55,0,1.5,0,INTERVENE,0,60,0,1,0,INTERVENE,5,60,95,60,0,60,0,1,0,INTERVENE,17,60,83,60,18,60,0,1,0,INTERVENE,34,.34,1,34,WATCH,5,13,65,41
Building 21,561,HS,High School,2000 N. 7th St.,Philadelphia,PA,19122,215-684-2030,215-684-2172,District,N/A,293,www.philasd.org/schools/building21,'9-10',Citywide,2,Innovation Network,Innovation Network,,5,INTERVENE,82nd out of 83,19th out of 20,0,INTERVENE,71st out of 79,14th out of 20,5,INTERVENE,81st out of 83,20th out of 20,12,INTERVENE,72nd out of 84,16th out of 21,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,5,224,0,8,0,INTERVENE,0,224,0,1.5,0,INTERVENE,4,105,0,8,0,INTERVENE,1,105,.06,1.5,4,INTERVENE,14,102,0,8,0,INTERVENE,0,102,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-10.29,0,6.5,0,INTERVENE,-4.53,0,6.5,0,INTERVENE,-6.32,0,6.5,0,INTERVENE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.04,0,1.5,0,INTERVENE,1.47,1.24,1.5,82,MODEL,-2.86,0,1.5,0,INTERVENE,21,295,.16,8,2,INTERVENE,21,295,18,295,14,295,27,295,75,286,0,6,0,INTERVENE,100,295,.5,.5,100,MODEL,84,295,1.17,2.5,47,WATCH,54,.54,1,54,REINFORCE,0,0,1,0,INTERVENE,5,0,1,0,INTERVENE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,36,.36,1,36,WATCH,0,11,71,45
